gate,status,value,threshold,blocking,detail,rationale
ppc_t_spread,PASS,"IQR obs 1.025 vs rep [1.022, 1.062]",observed IQR inside the replicated 94% interval,True,"sd for reference: obs 1.000, replicated median 0.956 (ratio 0.96x — expected to exceed 1 under a Student-t and not gated)","Replicated INTERQUARTILE RANGE must contain the observed one. Measured robustly on purpose: comparing standard deviations under a Student-t mostly reports nu, since the t's variance is dominated by tail mass its density fit does not chase."
ppc_coverage,PASS,0.940 - 0.944 (target 0.94),within +/-0.02,True,"per-step: [0.9416, 0.9412, 0.9402, 0.9439]; scored cells per step [6306, 6458, 6503, 6506]","Per-time predictive interval coverage against its nominal target. Over-shooting means intervals are too wide, not that the model is safe."
ppc_decay,PASS,"rho_inf obs 0.409 vs rep [0.385, 0.446]",observed inside the replicated 94% interval,True,"Mean carries Var(mu)/(Var(mu)+Var(resid)) = 0.423 of the response; the covariance carries the rest. The mean's share is a FLOOR on the replicated rho_inf, so a replicated value below the observed one with a healthy residual decay means the mean is too small -- check mean_calibration before touching rho_inf or the OU length scale. Read alongside ppc_decay_residual, which removes the mean from both sides.","NEW: replicated data must reproduce the observed correlation decay, not just the marginal spread. A model can match the variance of a panel while getting its time structure completely wrong -- v1 did."
ppc_decay_residual,PASS,"rho_inf obs 0.002 vs rep [0.000, 0.039]",observed inside the replicated 94% interval,False,"Same statistic as ppc_decay with the posterior-mean mean removed from both sides. Failing here too points at the covariance; passing here while ppc_decay fails points at the mean, so read mean_spread next.","NEW, reported not gated: ppc_decay with the posterior-mean mean removed from both sides. A mean that is constant in time contributes the same constant at every gap, so it reads as a permanent level and hides whether a decay failure is in the mean or in the covariance."
shrinkage_slope,PASS,"slope 0.852, shift -0.0077, above 49.8%, rho 0.99313, median revision 0.96pp (intercept +0.0304)","slope in [0.8, 0.98], |shift| <= 0.02, rho <= 0.995, revision >= 0.25pp",True,"A shift of the centre is a universe-wide offset, not a signal. Expect ~50% of names above consensus, not 80%. A rho at the ceiling or a revision at the floor means the opposite failure: the screen is a consensus sort, and the drift betas and the hierarchy are being estimated but are not reaching the exported number. The intercept is reported for continuity but is not graded -- it equals (1 - slope) * centre.","NEW: regressing expected upside on analyst-implied upside must give a slope near 1 and an intercept near 0. An intercept is a uniform offset applied to the whole universe, which is what took names-above-consensus from 62% to 81% between two runs with nothing failing."
coverage_gradient,WARN,"monotone, spread 1.52x","monotone decreasing, spread >= 2x",False,"mean er_sd by bucket: {'1-3': 0.2928, '4-8': 0.2827, '9-20': 0.238, '21+': 0.1924}",NEW: posterior uncertainty must decrease monotonically with analyst coverage. A flat or inverted gradient means the hierarchy is not pricing information.
prob_pos_degenerate,PASS,"59.6% pinned at 1.0, p_upside_pos_cond span 0.578","pinned <= 60%, p_upside_pos_cond p95-p05 >= 0.30",False,"prob_pos is a REPORTED diagnostic and is never ranked on. p_upside_pos_cond is the primary probability column -- since 2026-08-20 it is P(risk-adjusted forward return > 0) computed directly from the MC draws, not the old mc_prob_pos * sigmoid product. The export ranks on it and suppresses it alongside the other out-of-support metrics.",NEW: warn when prob_pos is pinned at 1.0 for most of the universe. It cannot order a ranking in that state and p_upside_pos_cond should be used instead.
export_rowcount,PASS,7/7 non-empty; per-ISIN counts [6506],"all non-empty, per-ISIN frames agree",True,,Every curated frame is non-empty and agrees on row count. Catches the 'table exists with zero rows' failure that passes a naive vintage check.
export_finite,PASS,0 frame(s) with non-finite values,all numeric cells finite,True,,"Every exported ranking metric is finite and in range, and clip-pinned rows are flagged."
export_ranking_range,PASS,0 column(s) out of range,|metric| <= 100 on non-suppressed rows,True,,
export_vintage,PASS,7/7 tables stamped 0121366fbabf,every written table carries exactly this run_id,True,,
